# Human-audited verdicts for flags the generator could only call "referenced".
#
# The generator reads tokens. It cannot see evidence that arrives through a
# config-file equivalent, a golden file, or a library-level test, so it
# understates. These rows are what a person found by reading the tests.
#
# flag<TAB>verdict<TAB>evidence
#
# verdict is one of:
#   behavior     a test asserts an observable effect; it fails if the flag stops working
#   parse-only   a test drives it through clap and asserts nothing downstream
#   mention-only the token appears; nothing exercises it
--reg-flood-threshold	behavior	same test, third run: the flag silences a burst the config key raised
--business-hours	behavior	business_hours_make_the_off_hours_detection_reachable
--fraud-short-call	behavior	fraud_short_call_secs_decides_which_calls_are_short
--fraud-wangiri-calls	behavior	fraud_wangiri_calls_decides_how_many_short_calls_are_a_lure
--fraud-sequential-calls	behavior	fraud_sequential_calls_decides_how_long_a_scan_must_be
--fraud-volume-multiplier	behavior	fraud_volume_multiplier_decides_how_big_a_spike_must_be
--fraud-volume-min-calls	behavior	fraud_volume_min_calls_decides_the_floor_under_a_spike
--fraud-volume-window	behavior	fraud_volume_window_secs_decides_how_concentrated_a_burst_must_be
--fraud-wangiri-window	behavior	fraud_wangiri_window_secs_decides_whether_a_paced_lure_is_visible
--scanner-behavioral-probes	behavior	scanner_behavioral_probes_decides_when_an_aggregated_rate_is_a_scanner
--scanner-enumeration-targets	behavior	scanner_enumeration_targets_decides_how_wide_a_sweep_must_be
--scanner-rejected-probes	behavior	scanner_rejected_probes_decides_how_much_refusal_is_evidence
--scanner-unanswered-probes	behavior	scanner_unanswered_probes_decides_how_much_silence_is_evidence
--scanner-window	behavior	scanner_window_secs_decides_whether_a_paced_sweep_is_visible
--scanner-established-factor	behavior	scanner_established_factor_decides_what_a_registration_buys
--scanner-answer-grace	behavior	scanner_answer_grace_ms_decides_how_slow_a_link_may_be
--digest-leak	parse-only	INTRUSION DETECTOR. The only tests assert the flag changes nothing on a clean fixture; a regression that stops building the detector passes them
--alert-exec	mention-only	COMMAND EXECUTION. The mechanism is extremely well tested, always by constructing AlertEngine directly. Nothing proves the flag reaches it
--syslog	mention-only	No occurrence anywhere outside comments. Acknowledged in flag_coverage_test's KNOWN_UNTESTED ("requires a syslog daemon")
--alert-json	parse-only	asserts exit 0 on a fixture where no alert fires; set_json_output has one caller and no test
--on-quality-exec	mention-only	COMMAND EXECUTION. Every EventExecEngine::new in the corpus passes None for the quality command
--exec-rate-limit	parse-only	the value's effect is proven only via engine.set_exec_rate_limit(0) called in-test; neither wiring site is asserted
--exec-queue-depth	behavior	the_exec_queue_depth_reaches_the_engine_the_plan_builds (tests/bootstrap_test.rs); (spawned, queue_full) moves 2,2 -> 4,0
--metrics-auth	mention-only	CREDENTIAL. Only whole-token occurrences are comments. It passes flag_coverage_test only because --metrics-auth-file contains the string
--api-key	behavior	auth_accepts_correct_bearer_and_rejects_everything_else (tests/api_test.rs): 200 vs 401 across five shapes
--api-signing-key	behavior	seven tests in tests/api_token_test.rs: expiry, forgery, tampering, rotation, scope
--api-revoked-file	behavior	revoked_id_is_rejected_via_denylist_file: denylisted 401, fresh 200, both with valid tokens
--api-tls-cert	behavior	tls_flags_fail_fast_and_do_not_serve. NOTE: what is proven is that TLS is unimplemented and fails closed
--api-tls-key	behavior	same test. The XOR consistency check that stops one-flag-alone serving plaintext has NO test
--api-max-conn	parse-only	DoS BOUND. Asserts the server still serves with the flag set; the 503 saturation path is untested
--metrics-max-conn	parse-only	DoS BOUND (SN-02). Resolver precedence tested, ConnGate tested, the join between them is not
--api-max-rows	parse-only	Resolver tested and enforcement tested by setting state.max_rows directly; the wiring between them is not
--api-rate-limit-per-peer	behavior	via config key: probe_api_rate_limit_per_peer counts HTTP 503 refusals from one peer
--mcp-max-body-bytes	behavior	via config key: probe_mcp_max_body_bytes changes the search_messages snippet length
--mcp-max-wait-seconds	behavior	via config key: probe_mcp_max_wait_seconds changes the effective await_condition deadline
--mcp-max-findings	behavior	via config key: probe_mcp_max_findings changes the remaining budget in save_findings
--mcp-allow-open-capture	behavior	the real binary runs WITH the flag; refusal without it, 1 dialog -> 1334 with it
--mcp-allow-tls-capture	behavior	default-deny and opt-in effect asserted; the one-line CLI hop is untested
--ack-timeout	behavior	diagnosis_ack_timeout_decides_when_a_missing_ack_is_a_fault; flag passed to a subprocess, NDJSON changes
--no-final-response-timeout	behavior	diagnosis_no_final_response_timeout_decides_when_silence_is_reported
--duration-asymmetry-pct	behavior	diagnosis_duration_asymmetry_percentage_reaches_the_diagnosis
--duration-asymmetry-secs	behavior	diagnosis_duration_asymmetry_threshold_decides_when_legs_disagree
--late-media-ms	behavior	diagnosis_late_media_threshold_decides_when_media_is_late
--jitter-bad-ms	behavior	every_quality_key_moves_its_band_and_every_flag_outranks_its_key; asserts the Band, which is the verdict
--loss-warn-pct	behavior	same test, case loss_warn_pct: 0.5% moves Good -> Warning
--mos-bad	behavior	same test, case mos_bad: MOS 3.5 moves Warning -> Bad
--rtt-warn-ms	behavior	same test, case rtt_warn_ms
--rtt-bad-ms	behavior	same test, case rtt_bad_ms
--tls-key	behavior	DECRYPTION MATERIAL. A real TLS 1.2 GCM record decrypts back to a REGISTER. The flag's file-load hop (RsaKey::from_pem_file) is untested
--keylog-watch	mention-only	DECRYPTION. The live keylog poll and the late-decrypt hold have no test tying them to the flag. CHANGELOG records a prior regression here
--dtls-keylog	behavior	DECRYPTION MATERIAL. Split proof: parse -> extract -> an SRTP packet decrypts. The file-load hop is untested
--srtp-keys	behavior	DECRYPTION MATERIAL. Key-file parsing and decryption both tested, with a wrong-key negative. The file-load hop is untested
--pcap-export-mode	parse-only	Three tests assert the string->enum mapping. No test writes a file in two modes and compares
--allow-coredump	parse-only	SAFETY SWITCH. Its smoke test runs on a capture with NO key material, so the code it guards never executes either way
--no-priv-drop	behavior	SAFETY SWITCH. Credentials proven unchanged as root, discriminated by the drop case. The flag->boolean hop is untested and the test self-skips without root
--reassembly-ttl	behavior	probe_reassembly_ttl_secs walks the flag's OWN resolver, alone among the limit probes
--max-metadata-file-bytes	behavior	probe_max_metadata_file_bytes turns "stripped" into "refused" at a 10-byte cap
--max-gunzip-bytes	behavior	probe_max_gunzip_bytes turns "stripped" into "refused" at a 100-byte ceiling
--completions	behavior	completions_emit_scripts_for_each_shell runs the real binary for bash/zsh/fish; unknown shell exits 2
--recommend-block	behavior	a_swept_source_gets_a_rule_naming_it and an_established_source_carries_its_counter_evidence (tests/block_recommendation_test.rs) drive the real binary and assert the emitted rule; an_unaccused_capture_recommends_nothing is the anti-vacuity half
